,id,title,popularity,release_date
285,11658,Tae Guk Gi: The Brotherhood of War,14.14,2004-02-05
286,449176,"Love, Simon",19.512,2018-02-16
287,15,Citizen Kane,29.279,1941-04-17
288,20453,3 Idiots,38.108,2009-12-23
289,947,Lawrence of Arabia,37.983,1962-12-11
290,568160,Weathering with You,37.169,2019-06-19
291,20530,Late Spring,11.976,1949-09-13
292,339877,Loving Vincent,14.951,2017-06-22
293,11778,The Deer Hunter,25.551,1978-12-08
294,205596,The Imitation Game,89.93,2014-11-14
295,12761,Autumn Sonata,7.847,1978-10-08
296,414419,Kill Bill: The Whole Bloody Affair,17.6,2011-03-27
297,28422,Love Exposure,13.757,2009-01-31
298,140420,Paperman,13.996,2012-11-02
299,678512,Sound of Freedom,49.982,2023-07-03
300,25376,The Secret in Their Eyes,28.177,2009-08-13
301,595,To Kill a Mockingbird,19.814,1962-12-20
302,13223,Gran Torino,29.256,2008-12-12
303,530915,1917,45.445,2019-12-25
304,455661,In a Heartbeat,5.695,2017-06-01
305,19426,Nights of Cabiria,12.688,1957-10-03
306,930094,"Red, White & Royal Blue",51.43,2023-07-27
307,895,Andrei Rublev,13.543,1966-12-16
308,429210,Bingo: The King of the Mornings,6.916,2017-08-24
309,347688,Scooby-Doo! and KISS: Rock and Roll Mystery,11.128,2015-07-09
310,962,The Gold Rush,18.375,1925-07-13
311,14696,Ugetsu,16.389,1953-03-26
312,424694,Bohemian Rhapsody,42.879,2018-10-24
313,780,The Passion of Joan of Arc,11.237,1928-04-21
314,213,North by Northwest,21.37,1959-07-08
315,11104,Chungking Express,45.236,1994-07-14
316,7508,Like Stars on Earth,20.206,2007-12-21
317,640,Catch Me If You Can,60.832,2002-12-16
318,10515,Castle in the Sky,40.568,1986-08-02
319,1396,Mirror,22.474,1975-03-07
320,76,Before Sunrise,33.875,1995-01-27
321,2517,Nobody Knows,15.917,2004-08-07
322,24,Kill Bill: Vol. 1,60.411,2003-10-10
323,740937,Simone: Woman of the Century,10.282,2022-10-12
324,862,Toy Story,120.92,1995-10-30
325,38286,Three Men and a Leg,6.549,1997-12-27
326,627,Trainspotting,33.336,1996-02-23
327,574074,Kitbull,19.909,2019-01-18
328,315465,The Boy and the Beast,19.701,2015-07-11
329,18438,Castaway on the Moon,9.723,2009-05-14
330,1050035,Monster,43.841,2023-06-02
331,626332,Flamin' Hot,29.343,2023-03-11
332,12104,Pink Floyd: The Wall,13.452,1982-07-14
333,14160,Up,75.577,2009-05-28
334,447365,Guardians of the Galaxy Vol. 3,119.849,2023-05-03
335,488623,Forgotten,27.044,2017-11-29
336,41050,La Notte,8.564,1961-01-24
337,1059,The Hidden Fortress,18.073,1958-12-28
338,961,The General,15.838,1926-12-25
339,745,The Sixth Sense,55.349,1999-08-06
340,70,Million Dollar Baby,26.638,2004-12-15
341,634649,Spider-Man: No Way Home,167.866,2021-12-15
342,10997,Farewell My Concubine,26.094,1993-01-01
343,37797,Whisper of the Heart,25.767,1995-07-15
344,28978,The Circus,14.923,1928-01-06
345,19542,The Red Shoes,13.666,1948-09-06
346,15244,A Man Escaped,10.819,1956-11-11
347,9764,Dersu Uzala,10.949,1975-08-02
348,329,Jurassic Park,33.166,1993-06-11
349,160885,Tel chi el telùn,4.7,1999-05-12
350,10386,The Iron Giant,37.716,1999-08-06
351,3090,The Treasure of the Sierra Madre,19.136,1948-01-15
352,679,Aliens,57.367,1986-07-18
353,5925,The Great Escape,28.161,1963-07-03
354,149,Akira,35.527,1988-06-10
355,237791,The Way He Looks,9.926,2014-04-10
356,6977,No Country for Old Men,59.849,2007-06-13
357,81,Nausicaä of the Valley of the Wind,31.463,1984-03-11
358,554596,No Manches Frida 2: Paradise Lost,42.666,2019-03-15
359,6715,The Cure,15.909,1995-04-21
360,158445,Miracle in Cell No. 7,18.843,2013-01-23
361,1580,Rope,18.646,1948-03-11
362,197,Braveheart,64.026,1995-05-24
363,615457,Nobody,43.662,2021-03-18
364,11712,Sanjuro,12.578,1962-01-01
365,10238,Cries and Whispers,13.73,1972-12-21
366,78,Blade Runner,58.667,1982-06-25
367,10404,Raise the Red Lantern,12.328,1991-12-18
368,242828,When Marnie Was There,25.194,2014-07-19
369,76203,12 Years a Slave,50.228,2013-10-18
370,20803,Ivan Vasilyevich Changes His Profession,8.476,1973-09-17
371,770,Gone with the Wind,36.661,1939-12-15
372,916224,Suzume,38.306,2022-11-11
373,29264,The Exterminating Angel,10.205,1962-05-16
374,15383,Army of Shadows,14.739,1969-09-10
375,5801,Pather Panchali,7.998,1955-08-26
376,776503,CODA,30.716,2021-08-13
377,11010,The Postman,10.863,1994-04-07
378,9323,Ghost in the Shell,31.809,1995-11-18
379,296096,Me Before You,114.506,2016-06-01
380,49964,Where Is The Friend's House?,13.149,1987-07-01
381,426618,Where Hands Touch,14.215,2018-09-14
382,30017,Close-Up,9.979,1990-05-09
383,8290,Don't Look Now... We're Being Shot At!,15.567,1966-12-08
384,85,Raiders of the Lost Ark,52.734,1981-06-12
385,152532,Dallas Buyers Club,18.829,2013-11-01
386,1578,Raging Bull,22.422,1980-11-14
387,505262,My Hero Academia: Two Heroes,30.661,2018-08-03
388,48035,Ordet,11.942,1955-01-09
389,489412,It's Such a Beautiful Day,8.568,2012-08-24
390,38360,The Cranes Are Flying,12.169,1957-10-12
391,122906,About Time,49.087,2013-09-04
392,949,Heat,65.983,1995-12-15
